
 STAID, SOUID,    DATE,   TG, Q_TG
  7012,142184,19920331,  -17,    0
  7012,142184,19920401,    2,    0
  7012,142184,19920402,   13,    0
  7012,142184,19920403,   22,    0
  7012,142184,19920404,   37,    0
  7012,142184,19920405,   22,    0
  7012,142184,19920406,   21,    0
  7012,142184,19920407,   28,    0
  7012,142184,19920408,   12,    0
  7012,142184,19920409,    0,    0
  7012,142184,19920410,    7,    0
  7012,142184,19920411,   18,    0
  7012,142184,19920412,   19,    0
  7012,142184,19920413,   23,    0
  7012,142184,19920414,   26,    0
  7012,142184,19920415,   16,    0
  7012,142184,19920416,    7,    0
  7012,142184,19920417,    6,    0
  7012,142184,19920418,   16,    0
  7012,142184,19920419,   16,    0
  7012,142184,19920420,   15,    0
  7012,142184,19920421,    4,    0
  7012,142184,19920422,   11,    0
  7012,142184,19920423,  -21,    0
  7012,142184,19920424,   -4,    0
  7012,142184,19920425,   11,    0
  7012,142184,19920426,   22,    0
  7012,142184,19920427,   41,    0
  7012,142184,19920428,   36,    0
  7012,142184,19920429,   47,    0
  7012,142184,19920430,   46,    0
  7012,142184,19920501,   47,    0
  7012,142184,19920502,   49,    0
  7012,142184,19920503,   44,    0
  7012,142184,19920504,   49,    0
  7012,142184,19920505,-9999,    9
  7012,142184,19920506,   50,    0
  7012,142184,19920507,   51,    0
  7012,142184,19920508,   55,    0
  7012,142184,19920509,   49,    0
  7012,142184,19920510,-9999,    9
  7012,142184,19920511,   44,    0
  7012,142184,19920512,   46,    0
  7012,142184,19920513,   54,    0
  7012,142184,19920514,   68,    0
  7012,142184,19920515,   66,    0
  7012,142184,19920516,   71,    0
  7012,142184,19920517,   81,    0
  7012,142184,19920518,  100,    0
  7012,142184,19920519,   91,    0
  7012,142184,19920520,  124,    0
  7012,142184,19920521,   97,    0
  7012,142184,19920522,   84,    0
  7012,142184,19920523,   93,    0
  7012,142184,19920524,  104,    0
  7012,142184,19920525,  117,    0
  7012,142184,19920526,  140,    0
  7012,142184,19920527,  170,    0
  7012,142184,19920528,  145,    0
  7012,142184,19920529,  145,    0
  7012,142184,19920530,  146,    0
  7012,142184,19920531,  155,    0
  7012,142184,19920601,  177,    0
  7012,142184,19920602,  137,    0
  7012,142184,19920603,  128,    0
  7012,142184,19920604,  152,    0
  7012,142184,19920605,  157,    0
  7012,142184,19920606,  156,    0
  7012,142184,19920607,  164,    0
  7012,142184,19920608,  166,    0
  7012,142184,19920609,  128,    0
  7012,142184,19920610,  140,    0
  7012,142184,19920611,  137,    0
  7012,142184,19920612,  163,    0
  7012,142184,19920613,  175,    0
  7012,142184,19920614,  169,    0
  7012,142184,19920615,-9999,    9
  7012,142184,19920616,  153,    0
  7012,142184,19920617,  131,    0
  7012,142184,19920618,  132,    0
  7012,142184,19920619,  172,    0
  7012,142184,19920620,  163,    0
  7012,142184,19920621,  140,    0
  7012,142184,19920622,  113,    0
  7012,142184,19920623,  111,    0
  7012,142184,19920624,  125,    0
  7012,142184,19920625,  134,    0
  7012,142184,19920626,  142,    0
  7012,142184,19920627,  144,    0
  7012,142184,19920628,  137,    0
  7012,142184,19920629,  147,    0
  7012,142184,19920630,  140,    0
  7012,142184,19920701,  153,    0
  7012,142184,19920702,  135,    0
  7012,142184,19920703,  117,    0
  7012,142184,19920704,  111,    0
  7012,142184,19920705,  119,    0
  7012,142184,19920706,  125,    0
  7012,142184,19920707,  123,    0
  7012,142184,19920708,  126,    0
  7012,142184,19920709,  126,    0
  7012,142184,19920710,  136,    0
  7012,142184,19920711,  156,    0
  7012,142184,19920712,  159,    0
  7012,142184,19920713,  162,    0
  7012,142184,19920714,  167,    0
  7012,142184,19920715,  153,    0
  7012,142184,19920716,  140,    0
  7012,142184,19920717,  130,    0
  7012,142184,19920718,-9999,    9
  7012,142184,19920719,  146,    0
  7012,142184,19920720,-9999,    9
  7012,142184,19920721,  143,    0
  7012,142184,19920722,  173,    0
  7012,142184,19920723,  176,    0
  7012,142184,19920724,  166,    0
  7012,142184,19920725,  172,    0
  7012,142184,19920726,  189,    0
  7012,142184,19920727,  176,    0
  7012,142184,19920728,  163,    0
  7012,142184,19920729,  152,    0
  7012,142184,19920730,  154,    0
  7012,142184,19920731,  159,    0
  7012,142184,19920801,  147,    0
  7012,142184,19920802,  168,    0
  7012,142184,19920803,  163,    0
  7012,142184,19920804,  162,    0
  7012,142184,19920805,  150,    0
  7012,142184,19920806,  151,    0
  7012,142184,19920807,  143,    0
  7012,142184,19920808,  136,    0
  7012,142184,19920809,  134,    0
  7012,142184,19920810,  151,    0
  7012,142184,19920811,  178,    0
  7012,142184,19920812,  141,    0
  7012,142184,19920813,  152,    0
  7012,142184,19920814,  149,    0
  7012,142184,19920815,  149,    0
  7012,142184,19920816,  144,    0
  7012,142184,19920817,-9999,    9
  7012,142184,19920818,  141,    0
  7012,142184,19920819,  141,    0
  7012,142184,19920820,  134,    0
  7012,142184,19920821,  123,    0
  7012,142184,19920822,  134,    0
  7012,142184,19920823,  133,    0
  7012,142184,19920824,  138,    0
  7012,142184,19920825,  130,    0
  7012,142184,19920826,  135,    0
  7012,142184,19920827,  140,    0
  7012,142184,19920828,  155,    0
  7012,142184,19920829,  154,    0
  7012,142184,19920830,  152,    0
  7012,142184,19920831,  150,    0
  7012,142184,19920901,  176,    0
  7012,142184,19920902,  154,    0
  7012,142184,19920903,  145,    0
  7012,142184,19920904,  148,    0
  7012,142184,19920905,  142,    0
  7012,142184,19920906,  136,    0
  7012,142184,19920907,  137,    0
  7012,142184,19920908,  138,    0
  7012,142184,19920909,  136,    0
  7012,142184,19920910,  134,    0
  7012,142184,19920911,  130,    0
  7012,142184,19920912,-9999,    9
  7012,142184,19920913,-9999,    9
  7012,142184,19920914,-9999,    9
  7012,142184,19920915,  141,    0
  7012,142184,19920916,  135,    0
  7012,142184,19920917,  130,    0
  7012,142184,19920918,  129,    0
  7012,142184,19920919,-9999,    9
  7012,142184,19920920,  129,    0
  7012,142184,19920921,  134,    0
  7012,142184,19920922,  133,    0
  7012,142184,19920923,-9999,    9
  7012,142184,19920924,  140,    0
  7012,142184,19920925,  135,    0
  7012,142184,19920926,  131,    0
  7012,142184,19920927,  126,    0
  7012,142184,19920928,  119,    0
  7012,142184,19920929,-9999,    9
  7012,142184,19920930,  112,    0
  7012,142184,19921001,   99,    0
  7012,142184,19921002,   53,    0
  7012,142184,19921003,   68,    0
  7012,142184,19921004,   87,    0
  7012,142184,19921005,   91,    0
  7012,142184,19921006,-9999,    9
  7012,142184,19921007,   87,    0
  7012,142184,19921008,  100,    0
  7012,142184,19921009,   69,    0
  7012,142184,19921010,   27,    0
  7012,142184,19921011,   23,    0
  7012,142184,19921012,    2,    0
  7012,142184,19921013,    5,    0
  7012,142184,19921014,   44,    0
  7012,142184,19921015,   55,    0
  7012,142184,19921016,   68,    0
  7012,142184,19921017,   61,    0
  7012,142184,19921018,   15,    0
  7012,142184,19921019,    3,    0
  7012,142184,19921020,   59,    0
  7012,142184,19921021,   31,    0
  7012,142184,19921022,   17,    0
  7012,142184,19921023,  -19,    0
  7012,142184,19921024,  -12,    0
  7012,142184,19921025,   -5,    0
  7012,142184,19921026,  -15,    0
  7012,142184,19921027,  -25,    0
  7012,142184,19921028,    1,    0
  7012,142184,19921029,  -13,    0
  7012,142184,19921030,  -56,    0
  7012,142184,19921031,  -41,    0
  7012,142184,19921101,-9999,    9
  7012,142184,19921102,-9999,    9
  7012,142184,19921103,   61,    0
  7012,142184,19921104,   56,    0
  7012,142184,19921105,   25,    0
  7012,142184,19921106,    4,    0
  7012,142184,19921107,   38,    0
  7012,142184,19921108,  -17,    0
  7012,142184,19921109,    1,    0
  7012,142184,19921110,   34,    0
  7012,142184,19921111,   30,    0
  7012,142184,19921112,   11,    0
  7012,142184,19921113,   28,    0
  7012,142184,19921114,   -2,    0
  7012,142184,19921115,   -8,    0
  7012,142184,19921116,   -3,    0
  7012,142184,19921117,  -10,    0
  7012,142184,19921118,    5,    0
  7012,142184,19921119,   27,    0
  7012,142184,19921120,   28,    0
  7012,142184,19921121,   16,    0
  7012,142184,19921122,  -42,    0
  7012,142184,19921123,  -85,    0
  7012,142184,19921124,  -32,    0
  7012,142184,19921125,   10,    0
  7012,142184,19921126,   12,    0
  7012,142184,19921127,  -20,    0
  7012,142184,19921128,  -41,    0
  7012,142184,19921129,  -69,    0
  7012,142184,19921130,  -24,    0
  7012,142184,19921201,   29,    0
  7012,142184,19921202,   45,    0
  7012,142184,19921203,   36,    0
  7012,142184,19921204,   39,    0
  7012,142184,19921205,   36,    0
  7012,142184,19921206,   33,    0
  7012,142184,19921207,   23,    0
  7012,142184,19921208,   12,    0
  7012,142184,19921209,   -1,    0
  7012,142184,19921210,   23,    0
  7012,142184,19921211,   36,    0
  7012,142184,19921212,-9999,    9
  7012,142184,19921213,-9999,    9
  7012,142184,19921214,-9999,    9
  7012,142184,19921215,   34,    0
  7012,142184,19921216,   42,    0
  7012,142184,19921217,   39,    0
  7012,142184,19921218,   27,    0
  7012,142184,19921219,   26,    0
  7012,142184,19921220,   20,    0
  7012,142184,19921221,   -7,    0
  7012,142184,19921222,    0,    0
  7012,142184,19921223,  -11,    0
  7012,142184,19921224,   28,    0
  7012,142184,19921225,-9999,    9
  7012,142184,19921226,-9999,    9
  7012,142184,19921227,-9999,    9
  7012,142184,19921228,-9999,    9
  7012,142184,19921229,   19,    0
  7012,142184,19921230,  -30,    0
  7012,142184,19921231,  -51,    0
  7012,142184,19930101,   -5,    0
  7012,142184,19930102,   21,    0
  7012,142184,19930103,   11,    0
  7012,142184,19930104,    7,    0
  7012,142184,19930105,  -15,    0
  7012,142184,19930106,   19,    0
  7012,142184,19930107,   21,    0
  7012,142184,19930108,   11,    0
  7012,142184,19930109,   17,    0
